,昵称,性别,sign,评论,时间,ip属地
0,与幻君,保密,果然还是很喜欢啊,"有很多原因的，厚古薄今童年滤镜审美疲劳记忆美化啥的。我主要提一点，人年少时更容易受触动，长大了经历多了或者看番多了，就不容易受触动了，一方面是阅历原因一方面就是身体那啥啥激素分泌的影响。
比如刚入坑时你会更容易被剧情所打动，更容易喜欢上乃至爱上纸片人，随着阅历增加，你会发现你不再那么容易被感动了，你不再见一个爱一个了，原来经常看完一部番就像失去了一个朋友很是不舍，现在很难有那种感觉了，就连你弟弟也会变得越来越挑剔。
真的是现在番不行了吗？显然不是。依然有着无数新人被新番所传达的故事所触动着。",2023-11-05 19:54:20,江西
1,小栗キャップ,保密,あなたは太陽、わたしは月,感觉更多是没有看番的动力了吧，自从lex那事以后，看番没以前这么方便，很多时候知道他可能好看也就懒得再去找资源，很多在线观看又画质不是很好，慢慢的就不怎么看了，现在一个季度顶多看两部甚至常有一个季度一部番不看，加之以前看的番看的太多了，现在的风格和类型也少有能提起兴趣的了。,2023-11-05 19:16:48,德国
2,我不是NT,保密,,我觉得是画风跟特效水平都上去了，镜头表达跟编剧水平反而不如以前,2023-11-05 19:31:37,广东
3,我推の折木奉太郎,女,,为什么总有人说业界要玩？确实，比起90年代和00年代的一些，确实现在动漫不如他们，可是2021到2023，贡献了源源不断的佳作，为什么人们觉得以前的动画更好看？是回忆加了分吗？是因为看了太多而导致厌倦了吗？还是说已经没有那种可以轻轻松松看番的环境了呢？,2023-11-05 19:12:42,福建
4,无法糖醋的排骨,保密,总有一天会崛起的up,就我个人来说，倒不是因为番不好看了，只是时间上不允许了，从学生变为社畜时候就是大打折扣，没有那么多闲暇的时间去看番了，又或者是没有能静下心来去看番了，一天社畜下来，在入睡之前只有那么几个小时的个人时间，想做的事情非常多，但是只想躺下放空自己，我曾经也是个看番爱好者，但是现在已经渐渐淡出了我的生活，偶尔就是看一下有关于新番的解说了,2023-11-06 06:40:24,江苏
5,二次元之神様,保密,(&deg;_&deg;)&hellip;,可能很多老二次元喜欢热血漫，这两年拿得出手热血漫确实很少,2023-11-05 19:15:52,美国
6,羽羽羽羽虞,保密,倒霉催的打工人，穷的荡气回肠,"我只觉得是自己变了, 变得越来越没有耐心, 现在再去看以前喜欢的动漫, 看三集就看不下去了, 真不明白自己以前怎么喜欢这种番, 以前番剧的节奏是真的慢, 基本上你得硬挨到第九或者第十集才有爆点, 一般在第六集第七集来个泳装回, 前期的剧情平淡如水, 换现在的我早就跑了, 根本不可能看完",2023-11-21 14:41:49,上海
7,黎暝息,男,此人已经淹死在知识的海洋中,现在所谓的“老番”，其实就是时代筛选下来的番，他们只是一小部分，而老番远不止这些作品，大部分老番都以为平庸而早就被遗忘了，所以就会有新番不如老番的感觉，虽然近几年垃圾番确实多，但优秀的作品也有不少，下线低了，但上线没高，就有了下降的感觉,2023-11-05 19:36:57,江西
8,号放假放,保密,,我现在只想看瓶子大战派蒙,2023-11-17 15:41:17,广东
9,紗霧好き,男,"臭二次元康壬，一个理想破灭的理想主义者。
这就是最美好的前途……也许……","我到没有感觉现在的不如以前，可能是我入坑比较晚，再加上我个人看番比较挑画风，题材也有偏好，最终结果是每年都有那么一两部印象深刻的。
不得不说，挑画风不是啥好习惯，可能是看萌豚和百合太多导致的。我最早能接受的古早画风估计是奈亚子、少战这种（或者再加个幸运星）再早一些的我就完全看不下去了，单纯因为画风不习惯[笑哭]
包括题材，属于是恋爱番不是纯爱不看，纯爱番没有萝莉少女的不看，有萝莉的……那肯定看。",2023-11-25 21:14:42,辽宁
10,Just_onlywe,保密,,想看你讲巨人了,2023-11-08 12:57:36,浙江
